iter	RMSE
0	0.4357754758
1	0.4302387291
2	0.4251281907
3	0.4203073384
4	0.4159299416
5	0.4118379618
6	0.4085450209
7	0.4053636979
8	0.4022064883
9	0.3996123203
10	0.397297214
11	0.3949039529
12	0.3928215796
13	0.3907350637
14	0.3888231754
15	0.3872289366
16	0.3858174066
17	0.3845055876
18	0.3831047073
19	0.3818882925
20	0.3807482496
21	0.379729997
22	0.3787014608
23	0.3778285222
24	0.3769980381
25	0.3762961714
26	0.3755707477
27	0.3747130447
28	0.3740748611
29	0.3732937943
30	0.3726506969
31	0.3721013579
32	0.3716323129
33	0.3711101151
34	0.3705173497
35	0.3701042711
36	0.3697632208
37	0.3693411375
38	0.3688960187
39	0.3685140721
40	0.3682290043
41	0.3677192957
42	0.3675384041
43	0.3671645325
44	0.3668024871
45	0.3665958083
46	0.3664414057
47	0.3661826336
48	0.3660367154
49	0.3658271185
50	0.3655719589
51	0.3651686747
52	0.3649060517
53	0.364774766
54	0.3646397395
55	0.364452785
56	0.3643064899
57	0.3641311498
58	0.3639639093
59	0.3638598492
60	0.3636699394
61	0.3636517155
62	0.3635573238
63	0.3632931241
64	0.3631876145
65	0.3630356917
66	0.3630179219
67	0.3629314253
68	0.362819427
69	0.3627937347
70	0.3627587239
71	0.3627330334
72	0.3626448811
73	0.362629663
74	0.3626050234
75	0.3624857939
76	0.3624619392
77	0.3624345835
78	0.3622633003
79	0.3622295881
80	0.3621921133
81	0.3621787009
82	0.3621523293
83	0.3621328836
84	0.3619243584
85	0.3618988969
86	0.3618692453
87	0.3618553782
88	0.3617911551
89	0.3617777582
90	0.361718877
91	0.3617011708
92	0.3616566488
93	0.361604012
94	0.3615263322
95	0.3612837166
96	0.3612160562
97	0.3611930845
98	0.361066493
99	0.3610304526
100	0.361015293
101	0.3610013971
102	0.3609264863
103	0.3609132844
104	0.3608972607
105	0.3608691322
106	0.3608526254
107	0.360838806
108	0.3608190693
109	0.3607802901
110	0.3607686484
111	0.3606594061
112	0.3606032416
113	0.3605873382
114	0.3605692029
115	0.3605529833
116	0.3605315908
117	0.3603927384
118	0.3603714019
119	0.3603507784
120	0.3603370521
121	0.3603059489
122	0.3602920391
123	0.3602730959
124	0.3599676874
125	0.3599503818
126	0.359933403
127	0.3599095817
128	0.3598894135
129	0.35986757
130	0.3598512284
131	0.3598178849
132	0.3598003602
133	0.3597746534
134	0.359749576
135	0.3597278124
136	0.3596998697
137	0.3596751975
138	0.3596467816
139	0.3596174721
140	0.3595944315
141	0.3595720217
142	0.3595497102
143	0.3595230005
144	0.3594973735
145	0.3594384892
146	0.3594134886
147	0.3593864899
148	0.3592829186
149	0.3592585528
150	0.3592348076
151	0.3592084693
152	0.3591802883
153	0.3591610416
154	0.3591347005
155	0.3591111997
156	0.3590858511
157	0.3590596582
158	0.3590346773
159	0.3590060435
160	0.3589777667
161	0.3589503362
162	0.3587922077
163	0.3587655403
164	0.3587380569
165	0.3587148486
166	0.3586848005
167	0.3586567512
168	0.3586348369
169	0.3586002429
170	0.3585682098
171	0.3585381211
172	0.3585089025
173	0.3584810722
174	0.3584497074
175	0.3584153878
176	0.358187884
177	0.3581579571
178	0.3581276951
179	0.358099188
180	0.3580692103
181	0.3578380578
182	0.357809532
183	0.3577781708
184	0.3577472314
185	0.3577159472
186	0.357679598
187	0.3576434704
188	0.3576137145
189	0.357579822
190	0.357542793
191	0.3575096138
192	0.3574772179
193	0.3574450999
194	0.3574136227
195	0.3573810845
196	0.3573446941
197	0.3573105491
198	0.3572766867
199	0.3572425814
200	0.3572075591
201	0.3571717678
202	0.3571364479
203	0.3571007504
204	0.3570662002
205	0.3570317093
206	0.3569957045
207	0.3569615446
208	0.3569276874
209	0.3568929739
210	0.3568583476
211	0.3568231018
212	0.3567876276
213	0.3567531868
214	0.3567190601
215	0.3566837217
216	0.356649612
217	0.3566154798
218	0.3565818438
219	0.3565475245
220	0.3565133293
221	0.3564797355
222	0.3564462291
223	0.3564130579
224	0.3563784248
225	0.3563447389
226	0.3563110511
227	0.3562781137
228	0.3562450127
229	0.356211788
230	0.3561784579
231	0.3561450532
232	0.3561116334
233	0.3558624594
234	0.3558291619
235	0.3557960708
236	0.3557628709
237	0.3557296496
238	0.3556974721
239	0.3556646227
240	0.3556315543
241	0.35559881
242	0.3555662771
243	0.3555339424
244	0.3555013587
245	0.3554691601
246	0.3554370932
247	0.3554047668
248	0.3553724357
249	0.3551074239
250	0.3550752384
251	0.3550432503
252	0.3550114479
253	0.354979556
254	0.3549474442
255	0.3549155906
256	0.3548837405
257	0.3548521458
258	0.3548206316
259	0.3547892008
260	0.3547577703
261	0.3547263055
262	0.3546947529
263	0.3546633958
264	0.3546320476
265	0.354600788
266	0.3545695895
267	0.3545385156
268	0.354507441
269	0.3544764347
270	0.3544453759
271	0.3544144404
272	0.3543835788
273	0.3543527588
274	0.354322017
275	0.3542912647
276	0.3542605376
277	0.3542298108
278	0.3541991746
279	0.3541686267
280	0.3541381143
281	0.3541075998
282	0.3540771645
283	0.3540467255
284	0.3540162902
285	0.3539858693
286	0.3539555816
287	0.3539253074
288	0.3538950677
289	0.3538648368
290	0.3538346541
291	0.3538045754
292	0.35377451
293	0.3537444729
294	0.3535068044
295	0.3534767106
296	0.3534466944
297	0.3534166446
298	0.3533866762
299	0.3533567066
300	0.3533267806
