iter	Passed	Remaining
0	2	2509
1	5	2500
2	7	2557
3	10	2530
4	12	2478
5	14	2449
6	17	2416
7	19	2412
8	21	2395
9	24	2388
10	26	2389
11	28	2385
12	31	2377
13	33	2380
14	36	2375
15	38	2368
16	41	2371
17	43	2363
18	45	2354
19	47	2347
20	50	2337
21	52	2325
22	54	2312
23	56	2306
24	59	2301
25	61	2295
26	63	2286
27	65	2276
28	67	2268
29	69	2259
30	72	2257
31	74	2253
32	76	2251
33	79	2246
34	81	2241
35	83	2233
36	85	2232
37	88	2228
38	90	2221
39	92	2216
40	94	2211
41	96	2204
42	98	2199
43	100	2193
44	103	2190
45	105	2187
46	107	2180
47	109	2174
48	111	2170
49	113	2164
50	116	2162
51	118	2159
52	120	2158
53	123	2157
54	125	2154
55	127	2149
56	129	2149
57	132	2148
58	134	2149
59	137	2148
60	139	2145
61	141	2142
62	143	2140
63	146	2137
64	148	2133
65	150	2133
66	153	2130
67	155	2128
68	157	2124
69	159	2121
70	161	2119
71	164	2115
72	166	2116
73	169	2115
74	171	2115
75	174	2120
76	177	2128
77	180	2136
78	183	2140
79	186	2144
80	189	2150
81	192	2156
82	195	2161
83	198	2165
84	201	2168
85	204	2170
86	206	2168
87	209	2166
88	211	2164
89	213	2163
90	216	2161
91	218	2159
92	221	2156
93	223	2153
94	225	2149
95	228	2148
96	230	2148
97	233	2145
98	235	2141
99	237	2139
100	240	2138
101	242	2137
102	245	2135
103	247	2133
104	250	2132
105	252	2130
106	255	2128
107	257	2127
108	259	2125
109	262	2123
110	264	2121
111	267	2119
112	269	2117
113	272	2115
114	274	2114
115	277	2117
116	291	2196
117	294	2201
118	296	2194
119	306	2247
120	309	2249
121	312	2249
122	315	2248
123	317	2244
124	320	2242
125	322	2240
126	325	2239
127	328	2237
128	331	2236
129	333	2233
130	336	2233
131	339	2231
132	342	2229
133	344	2228
134	347	2226
135	350	2223
136	352	2221
137	355	2219
138	357	2216
139	360	2213
140	362	2211
141	365	2209
142	368	2207
143	371	2205
144	373	2204
145	376	2202
146	379	2201
147	381	2196
148	384	2194
149	386	2192
150	389	2190
151	392	2188
152	395	2186
153	397	2184
154	400	2181
155	402	2178
156	405	2175
157	407	2172
158	410	2169
159	412	2165
160	415	2162
161	417	2160
162	420	2157
163	422	2154
164	425	2151
165	427	2148
166	430	2145
167	432	2143
168	435	2140
169	437	2137
170	440	2135
171	442	2132
172	445	2129
173	448	2127
174	450	2124
175	453	2121
176	455	2118
177	458	2115
178	460	2113
179	463	2110
180	465	2108
181	468	2105
182	471	2103
183	473	2100
184	476	2097
185	478	2094
186	481	2092
187	483	2089
188	486	2087
189	489	2084
190	491	2083
191	494	2080
192	497	2078
193	499	2075
194	502	2073
195	504	2071
196	507	2069
197	510	2067
198	513	2064
199	515	2062
200	518	2060
201	520	2057
202	523	2055
203	526	2053
204	528	2051
205	531	2049
206	534	2046
207	536	2043
208	539	2041
209	541	2038
210	544	2035
211	547	2033
212	549	2031
213	552	2029
214	554	2025
215	557	2022
216	559	2020
217	562	2017
218	564	2014
219	567	2012
220	570	2009
221	572	2006
222	575	2003
223	577	2001
224	580	1998
225	582	1995
226	585	1992
227	587	1989
228	590	1987
229	592	1984
230	595	1981
231	597	1977
232	600	1975
233	602	1972
234	604	1969
235	607	1966
236	610	1963
237	612	1961
238	615	1958
239	617	1956
240	620	1954
241	623	1951
242	625	1949
243	628	1947
244	631	1944
245	633	1941
246	636	1939
247	638	1936
248	641	1933
249	643	1931
250	646	1928
251	648	1926
252	651	1924
253	653	1920
254	656	1917
255	658	1914
256	661	1911
257	663	1908
258	666	1905
259	668	1902
260	670	1899
261	672	1895
262	675	1892
263	677	1889
264	679	1885
265	682	1882
266	684	1879
267	686	1876
268	689	1872
269	691	1869
270	693	1866
271	695	1862
272	698	1859
273	700	1855
274	702	1852
275	704	1849
276	707	1845
277	709	1842
278	711	1839
279	714	1836
280	716	1832
281	718	1829
282	720	1826
283	723	1823
284	725	1820
285	727	1817
286	730	1815
287	732	1812
288	735	1809
289	737	1806
290	740	1803
291	742	1800
292	744	1796
293	747	1793
294	749	1791
295	751	1788
296	754	1785
297	756	1782
298	758	1779
299	761	1775
300	763	1772
301	765	1769
302	767	1765
303	769	1762
304	772	1759
305	774	1756
306	776	1753
307	778	1748
308	779	1743
309	781	1739
310	783	1736
311	785	1732
312	787	1729
313	790	1726
314	792	1722
315	794	1719
316	796	1715
317	798	1712
318	800	1709
319	802	1705
320	804	1702
321	807	1699
322	809	1696
323	811	1692
324	813	1689
325	815	1686
326	817	1682
327	819	1679
328	821	1676
329	824	1673
330	826	1669
331	828	1666
332	830	1663
333	832	1660
334	835	1657
335	837	1654
336	839	1651
337	841	1648
338	844	1645
339	846	1642
340	848	1639
341	850	1636
342	852	1633
343	855	1630
344	857	1627
345	859	1624
346	862	1622
347	864	1619
348	866	1616
349	868	1613
350	871	1610
351	873	1608
352	875	1605
353	878	1602
354	880	1600
355	883	1597
356	885	1594
357	887	1592
358	890	1589
359	892	1586
360	894	1583
361	897	1581
362	899	1578
363	901	1575
364	904	1573
365	906	1570
366	908	1567
367	911	1564
368	913	1561
369	915	1559
370	918	1556
371	920	1553
372	922	1551
373	925	1548
374	927	1545
375	930	1543
376	932	1541
377	935	1538
378	937	1536
379	940	1533
380	942	1531
381	945	1529
382	947	1526
383	950	1524
384	952	1521
385	955	1519
386	957	1517
387	960	1514
388	962	1512
389	965	1509
390	967	1506
391	969	1504
392	972	1501
393	974	1499
394	976	1496
395	979	1493
396	981	1491
397	984	1488
398	986	1486
399	989	1483
400	991	1481
401	993	1478
402	996	1475
403	998	1473
404	1000	1470
405	1003	1467
406	1005	1465
407	1008	1463
408	1010	1460
409	1013	1457
410	1015	1455
411	1017	1452
412	1020	1450
413	1022	1447
414	1025	1445
415	1027	1442
416	1029	1439
417	1032	1437
418	1034	1434
419	1037	1432
420	1039	1429
421	1041	1426
422	1043	1423
423	1046	1421
424	1048	1418
425	1050	1415
426	1053	1413
427	1055	1410
428	1057	1407
429	1060	1405
430	1062	1402
431	1064	1399
432	1066	1397
433	1069	1394
434	1071	1391
435	1073	1388
436	1075	1385
437	1077	1383
438	1079	1380
439	1082	1377
440	1084	1374
441	1086	1371
442	1088	1369
443	1091	1366
444	1093	1363
445	1095	1360
446	1097	1357
447	1099	1355
448	1102	1352
449	1104	1349
450	1106	1346
451	1108	1344
452	1110	1341
453	1113	1338
454	1115	1336
455	1117	1333
456	1120	1330
457	1122	1328
458	1124	1325
459	1126	1322
460	1128	1319
461	1130	1316
462	1133	1314
463	1135	1311
464	1137	1308
465	1139	1305
466	1141	1302
467	1143	1300
468	1145	1297
469	1148	1294
470	1150	1292
471	1153	1290
472	1156	1288
473	1159	1286
474	1162	1284
475	1180	1299
476	1183	1297
477	1185	1294
478	1188	1292
479	1190	1289
480	1192	1286
481	1194	1284
482	1197	1281
483	1199	1278
484	1201	1275
485	1203	1273
486	1206	1270
487	1208	1267
488	1210	1265
489	1212	1262
490	1215	1259
491	1217	1256
492	1219	1254
493	1222	1251
494	1224	1249
495	1226	1246
496	1228	1243
497	1231	1240
498	1233	1238
499	1236	1236
500	1238	1233
501	1241	1231
502	1243	1228
503	1245	1226
504	1248	1223
505	1250	1220
506	1252	1218
507	1254	1215
508	1257	1212
509	1259	1210
510	1261	1207
511	1264	1204
512	1266	1202
513	1268	1199
514	1270	1196
515	1273	1194
516	1275	1191
517	1277	1188
518	1279	1185
519	1281	1183
520	1283	1180
521	1285	1177
522	1288	1174
523	1290	1172
524	1292	1169
525	1294	1166
526	1296	1163
527	1298	1160
528	1300	1158
529	1303	1155
530	1305	1152
531	1307	1150
532	1309	1147
533	1311	1144
534	1313	1141
535	1315	1139
536	1318	1136
537	1320	1133
538	1322	1131
539	1324	1128
540	1326	1125
541	1328	1122
542	1330	1120
543	1333	1117
544	1335	1114
545	1337	1112
546	1339	1109
547	1341	1106
548	1343	1104
549	1346	1101
550	1348	1098
551	1350	1096
552	1352	1093
553	1355	1090
554	1357	1088
555	1359	1085
556	1361	1082
557	1363	1080
558	1365	1077
559	1367	1074
560	1370	1072
561	1372	1069
562	1374	1066
563	1376	1064
564	1378	1061
565	1380	1058
566	1383	1056
567	1385	1053
568	1387	1051
569	1389	1048
570	1391	1045
571	1394	1043
572	1396	1040
573	1398	1037
574	1400	1035
575	1402	1032
576	1404	1029
577	1406	1027
578	1409	1024
579	1411	1021
580	1413	1019
581	1415	1016
582	1417	1014
583	1419	1011
584	1421	1008
585	1424	1006
586	1426	1003
587	1428	1000
588	1430	998
589	1432	995
590	1434	993
591	1437	990
592	1439	987
593	1441	985
594	1443	982
595	1445	980
596	1447	977
597	1450	974
598	1452	972
599	1454	969
600	1456	966
601	1458	964
602	1460	961
603	1462	959
604	1464	956
605	1467	953
606	1469	951
607	1471	948
608	1473	946
609	1475	943
610	1477	940
611	1480	938
612	1482	935
613	1484	933
614	1486	930
615	1488	927
616	1490	925
617	1493	922
618	1495	920
619	1497	917
620	1499	915
621	1501	912
622	1503	909
623	1505	907
624	1507	904
625	1510	902
626	1512	899
627	1514	897
628	1516	894
629	1518	891
630	1520	889
631	1523	886
632	1525	884
633	1527	881
634	1529	879
635	1531	876
636	1534	874
637	1536	871
638	1538	869
639	1540	866
640	1542	863
641	1544	861
642	1546	858
643	1548	856
644	1551	853
645	1553	851
646	1555	848
647	1557	846
648	1559	843
649	1561	840
650	1563	838
651	1565	835
652	1568	833
653	1570	830
654	1572	828
655	1574	825
656	1576	823
657	1578	820
658	1580	818
659	1583	815
660	1585	813
661	1587	810
662	1589	807
663	1591	805
664	1593	802
665	1595	800
666	1597	797
667	1600	795
668	1602	792
669	1604	790
670	1606	787
671	1608	785
672	1610	782
673	1613	780
674	1615	777
675	1617	775
676	1619	772
677	1621	770
678	1623	767
679	1625	765
680	1627	762
681	1630	760
682	1632	757
683	1634	755
684	1636	752
685	1638	750
686	1641	747
687	1643	745
688	1645	742
689	1647	740
690	1649	737
691	1651	735
692	1653	732
693	1656	730
694	1658	727
695	1660	725
696	1662	722
697	1664	720
698	1666	717
699	1668	715
700	1671	712
701	1673	710
702	1675	707
703	1677	705
704	1680	703
705	1682	700
706	1684	698
707	1687	695
708	1689	693
709	1691	691
710	1694	688
711	1696	686
712	1699	683
713	1701	681
